"Var1","Freq"
"(0 ; 0.01]",1085
"(0.01 ; 0.05]",225
"(0.05 ; 0.1]",125
"(0.1 ; 0.5]",1005
"(0.5 ; 0.9]",1476
"(0.9 ; 0.95]",373
"(0.95 ; 0.99]",465
"(0.99 ; 1]",471
