"Model","AUC"
"IsoBayes_mRNA_prior_0",0.79
"IsoBayes_mRNA_prior_0.01",0.835
"IsoBayes_mRNA_prior_0.02",0.843
"IsoBayes_mRNA_prior_0.04",0.849
"IsoBayes_mRNA_prior_0.08",0.852
"IsoBayes_mRNA_prior_0.1",0.855
"IsoBayes_mRNA_prior_0.2",0.857
"IsoBayes_mRNA_prior_0.4",0.856
"IsoBayes_mRNA_prior_0.8",0.854
"IsoBayes_mRNA_prior_1",0.853
