"Model","AUC"
"IsoBayes_MM_intensities",0.79
"IsoBayes_MM_psm",0.79
"IsoBayes_mRNA_MM_intensities",0.876
"IsoBayes_mRNA_MM_psm",0.871
"IsoBayes_mRNA_OpenMS",0.869
"IsoBayes_OpenMS",0.789
