"Var1","Freq"
"(0 ; 0.01]",1147
"(0.01 ; 0.05]",158
"(0.05 ; 0.1]",105
"(0.1 ; 0.5]",653
"(0.5 ; 0.9]",943
"(0.9 ; 0.95]",299
"(0.95 ; 0.99]",395
"(0.99 ; 1]",525
