"Var1","Freq"
"(0 ; 0.01]",1488
"(0.01 ; 0.05]",506
"(0.05 ; 0.1]",438
"(0.1 ; 0.5]",3466
"(0.5 ; 0.9]",3824
"(0.9 ; 0.95]",434
"(0.95 ; 0.99]",323
"(0.99 ; 1]",225
