"Var1","Freq"
"(0 ; 0.01]",1264
"(0.01 ; 0.05]",463
"(0.05 ; 0.1]",409
"(0.1 ; 0.5]",3356
"(0.5 ; 0.9]",3643
"(0.9 ; 0.95]",400
"(0.95 ; 0.99]",263
"(0.99 ; 1]",111
