"Model","AUC"
"IsoBayes_mRNA_prior_0",0.825
"IsoBayes_mRNA_prior_0.01",0.851
"IsoBayes_mRNA_prior_0.02",0.855
"IsoBayes_mRNA_prior_0.04",0.86
"IsoBayes_mRNA_prior_0.08",0.863
"IsoBayes_mRNA_prior_0.1",0.865
"IsoBayes_mRNA_prior_0.2",0.865
"IsoBayes_mRNA_prior_0.4",0.863
"IsoBayes_mRNA_prior_0.8",0.859
"IsoBayes_mRNA_prior_1",0.858
