"Model","AUC"
"IsoBayes_mRNA_prior_0",0.86
"IsoBayes_mRNA_prior_0.01",0.861
"IsoBayes_mRNA_prior_0.02",0.87
"IsoBayes_mRNA_prior_0.04",0.874
"IsoBayes_mRNA_prior_0.08",0.877
"IsoBayes_mRNA_prior_0.1",0.877
"IsoBayes_mRNA_prior_0.2",0.878
"IsoBayes_mRNA_prior_0.4",0.878
"IsoBayes_mRNA_prior_0.8",0.875
"IsoBayes_mRNA_prior_1",0.874
