"Var1","Freq"
"(0 ; 0.01]",145
"(0.01 ; 0.05]",240
"(0.05 ; 0.1]",345
"(0.1 ; 0.5]",1722
"(0.5 ; 0.9]",287
"(0.9 ; 0.95]",29
"(0.95 ; 0.99]",19
"(0.99 ; 1]",16
