"Var1","Freq"
"(0 ; 0.01]",138
"(0.01 ; 0.05]",235
"(0.05 ; 0.1]",339
"(0.1 ; 0.5]",1686
"(0.5 ; 0.9]",224
"(0.9 ; 0.95]",16
"(0.95 ; 0.99]",5
"(0.99 ; 1]",5
