"Var1","Freq"
"(0 ; 0.01]",163
"(0.01 ; 0.05]",270
"(0.05 ; 0.1]",338
"(0.1 ; 0.5]",1797
"(0.5 ; 0.9]",312
"(0.9 ; 0.95]",16
"(0.95 ; 0.99]",9
"(0.99 ; 1]",6
