"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"ArgC",0.588,"ArgC",0.645
"AspN",0.627,"AspN",0.689
"Chym",0.518,"Chym",0.614
"GluC",0.594,"GluC",0.647
"LysC",0.701,"LysC",0.731
"Trypsin",0.674,"Trypsin",0.708
"All",0.623,"All",0.676
