"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"ArgC",0.582,"ArgC",0.641
"AspN",0.626,"AspN",0.687
"Chym",0.527,"Chym",0.62
"GluC",0.6,"GluC",0.653
"LysC",0.704,"LysC",0.732
"Trypsin",0.69,"Trypsin",0.725
"All",0.599,"All",0.651
