"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"ArgC",0.624,"ArgC",0.691
"AspN",0.694,"AspN",0.753
"Chym",0.615,"Chym",0.695
"GluC",0.69,"GluC",0.739
"LysC",0.765,"LysC",0.796
"Trypsin",0.735,"Trypsin",0.783
"All",0.677,"All",0.732
