"Protease","Log10_correlation_PEP","Protease","Log10_correlation"
"ArgC",0.64,"ArgC",0.639
"AspN",0.688,"AspN",0.685
"Chym",0.617,"Chym",0.621
"GluC",0.655,"GluC",0.646
"LysC",0.734,"LysC",0.733
"Trypsin",0.723,"Trypsin",0.723
"All",0.651,"All",0.648
