"Protease","Log10_correlation_MM_psm","Protease","Log10_correlation_MM_intensities"
"ArgC",0.58,"ArgC",0.58
"AspN",0.62,"AspN",0.62
"Chym",0.53,"Chym",0.51
"GluC",0.6,"GluC",0.59
"LysC",0.7,"LysC",0.69
"Trypsin",0.69,"Trypsin",0.65
"All",0.6,"All",0.61
