"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"AspN",0.436,"AspN",0.622
"Chym",0.36,"Chym",0.604
"LysC",0.524,"LysC",0.643
"Trypsin",0.579,"Trypsin",0.645
"All",0.426,"All",0.558
