"","Model","AUC"
"1","IsoBayes_mRNA_prior_0",0.816
"2","IsoBayes_mRNA_prior_0.01",0.878
"3","IsoBayes_mRNA_prior_0.02",0.876
"4","IsoBayes_mRNA_prior_0.04",0.87
"5","IsoBayes_mRNA_prior_0.08",0.862
"6","IsoBayes_mRNA_prior_0.1",0.858
"7","IsoBayes_mRNA_prior_0.2",0.844
"8","IsoBayes_mRNA_prior_0.4",0.822
"9","IsoBayes_mRNA_prior_0.8",0.799
"10","IsoBayes_mRNA_prior_1",0.794
