"Var1","Freq"
"(0 ; 0.01]",85
"(0.01 ; 0.05]",166
"(0.05 ; 0.1]",281
"(0.1 ; 0.5]",1124
"(0.5 ; 0.9]",158
"(0.9 ; 0.95]",8
"(0.95 ; 0.99]",6
"(0.99 ; 1]",6
