"Var1","Freq"
"(0 ; 0.01]",58
"(0.01 ; 0.05]",69
"(0.05 ; 0.1]",66
"(0.1 ; 0.5]",647
"(0.5 ; 0.9]",140
"(0.9 ; 0.95]",10
"(0.95 ; 0.99]",7
"(0.99 ; 1]",16
