"Var1","Freq"
"(0 ; 0.01]",23
"(0.01 ; 0.05]",35
"(0.05 ; 0.1]",71
"(0.1 ; 0.5]",821
"(0.5 ; 0.9]",163
"(0.9 ; 0.95]",1
"(0.95 ; 0.99]",1
"(0.99 ; 1]",2
