"Var1","Freq"
"(0 ; 0.01]",48
"(0.01 ; 0.05]",128
"(0.05 ; 0.1]",342
"(0.1 ; 0.5]",1137
"(0.5 ; 0.9]",176
"(0.9 ; 0.95]",4
"(0.95 ; 0.99]",2
"(0.99 ; 1]",9
