"Var1","Freq"
"(0 ; 0.01]",51
"(0.01 ; 0.05]",131
"(0.05 ; 0.1]",345
"(0.1 ; 0.5]",1163
"(0.5 ; 0.9]",221
"(0.9 ; 0.95]",17
"(0.95 ; 0.99]",40
"(0.99 ; 1]",24
