"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"AspN",0.437,"AspN",0.624
"Chym",0.361,"Chym",0.603
"LysC",0.521,"LysC",0.643
"Trypsin",0.578,"Trypsin",0.645
"All",0.425,"All",0.559
