"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"AspN",0.463,"AspN",0.623
"Chym",0.366,"Chym",0.569
"LysC",0.578,"LysC",0.671
"Trypsin",0.653,"Trypsin",0.703
"All",0.505,"All",0.622
