"Protease","Log10_correlation_MM_psm","Protease","Log10_correlation_OpenMS"
"AspN",0.47,"AspN",0.49
"Chym",0.39,"Chym",0.43
"LysC",0.55,"LysC",0.58
"Trypsin",0.61,"Trypsin",0.62
"All",0.51,"All",0.53
