"Protease","Log10_correlation_prior_0","Protease","Log10_correlation_prior_0.01","Protease","Log10_correlation_prior_0.02","Protease","Log10_correlation_prior_0.04","Protease","Log10_correlation_prior_0.08","Protease","Log10_correlation_prior_0.1","Protease","Log10_correlation_prior_0.2","Protease","Log10_correlation_prior_0.4","Protease","Log10_correlation_prior_0.8","Protease","Log10_correlation_prior_1"
"AspN",0.497,"AspN",0.67,"AspN",0.672,"AspN",0.67,"AspN",0.667,"AspN",0.668,"AspN",0.662,"AspN",0.655,"AspN",0.648,"AspN",0.646
"Chym",0.434,"Chym",0.634,"Chym",0.637,"Chym",0.638,"Chym",0.635,"Chym",0.633,"Chym",0.629,"Chym",0.624,"Chym",0.618,"Chym",0.616
"LysC",0.619,"LysC",0.719,"LysC",0.714,"LysC",0.709,"LysC",0.7,"LysC",0.697,"LysC",0.686,"LysC",0.675,"LysC",0.663,"LysC",0.66
"Trypsin",0.645,"Trypsin",0.73,"Trypsin",0.727,"Trypsin",0.718,"Trypsin",0.712,"Trypsin",0.709,"Trypsin",0.7,"Trypsin",0.69,"Trypsin",0.679,"Trypsin",0.676
"All",0.525,"All",0.648,"All",0.644,"All",0.637,"All",0.629,"All",0.626,"All",0.616,"All",0.604,"All",0.593,"All",0.59
