"Var1","Freq"
"(0 ; 0.01]",3056
"(0.01 ; 0.05]",668
"(0.05 ; 0.1]",487
"(0.1 ; 0.5]",6165
"(0.5 ; 0.9]",5417
"(0.9 ; 0.95]",756
"(0.95 ; 0.99]",933
"(0.99 ; 1]",1198
