"Var1","Freq"
"(0 ; 0.01]",4034
"(0.01 ; 0.05]",1592
"(0.05 ; 0.1]",1514
"(0.1 ; 0.5]",17702
"(0.5 ; 0.9]",10761
"(0.9 ; 0.95]",1141
"(0.95 ; 0.99]",959
"(0.99 ; 1]",686
