"Var1","Freq"
"(0 ; 0.01]",606
"(0.01 ; 0.05]",1185
"(0.05 ; 0.1]",2130
"(0.1 ; 0.5]",8164
"(0.5 ; 0.9]",1416
"(0.9 ; 0.95]",145
"(0.95 ; 0.99]",160
"(0.99 ; 1]",135
