"Var1","Freq"
"(0 ; 0.01]",290
"(0.01 ; 0.05]",314
"(0.05 ; 0.1]",474
"(0.1 ; 0.5]",4513
"(0.5 ; 0.9]",926
"(0.9 ; 0.95]",42
"(0.95 ; 0.99]",19
"(0.99 ; 1]",14
