"Var1","Freq"
"(0 ; 0.01]",559
"(0.01 ; 0.05]",1153
"(0.05 ; 0.1]",2100
"(0.1 ; 0.5]",7980
"(0.5 ; 0.9]",1156
"(0.9 ; 0.95]",56
"(0.95 ; 0.99]",32
"(0.99 ; 1]",32
