"Model","AUC"
"IsoBayes_mRNA_prior_0",0.809
"IsoBayes_mRNA_prior_0.01",0.838
"IsoBayes_mRNA_prior_0.02",0.842
"IsoBayes_mRNA_prior_0.04",0.85
"IsoBayes_mRNA_prior_0.08",0.854
"IsoBayes_mRNA_prior_0.1",0.856
"IsoBayes_mRNA_prior_0.2",0.859
"IsoBayes_mRNA_prior_0.4",0.859
"IsoBayes_mRNA_prior_0.8",0.858
"IsoBayes_mRNA_prior_1",0.857
