"Var1","Freq"
"(0 ; 0.01]",517
"(0.01 ; 0.05]",160
"(0.05 ; 0.1]",147
"(0.1 ; 0.5]",2056
"(0.5 ; 0.9]",2214
"(0.9 ; 0.95]",61
"(0.95 ; 0.99]",41
"(0.99 ; 1]",34
