"Var1","Freq"
"(0 ; 0.01]",548
"(0.01 ; 0.05]",286
"(0.05 ; 0.1]",357
"(0.1 ; 0.5]",5942
"(0.5 ; 0.9]",2076
"(0.9 ; 0.95]",42
"(0.95 ; 0.99]",29
"(0.99 ; 1]",28
