"Var1","Freq"
"(0 ; 0.01]",254
"(0.01 ; 0.05]",113
"(0.05 ; 0.1]",99
"(0.1 ; 0.5]",2404
"(0.5 ; 0.9]",749
"(0.9 ; 0.95]",14
"(0.95 ; 0.99]",12
"(0.99 ; 1]",20
