"Var1","Freq"
"(0 ; 0.01]",350
"(0.01 ; 0.05]",225
"(0.05 ; 0.1]",290
"(0.1 ; 0.5]",4801
"(0.5 ; 0.9]",865
"(0.9 ; 0.95]",20
"(0.95 ; 0.99]",29
"(0.99 ; 1]",51
