"Model","AUC"
"IsoBayes_mRNA_prior_0",0.807
"IsoBayes_mRNA_prior_0.01",0.888
"IsoBayes_mRNA_prior_0.02",0.894
"IsoBayes_mRNA_prior_0.04",0.896
"IsoBayes_mRNA_prior_0.08",0.894
"IsoBayes_mRNA_prior_0.1",0.894
"IsoBayes_mRNA_prior_0.2",0.888
"IsoBayes_mRNA_prior_0.4",0.88
"IsoBayes_mRNA_prior_0.8",0.872
"IsoBayes_mRNA_prior_1",0.869
