"Var1","Freq"
"(0 ; 0.01]",60
"(0.01 ; 0.05]",69
"(0.05 ; 0.1]",90
"(0.1 ; 0.5]",913
"(0.5 ; 0.9]",203
"(0.9 ; 0.95]",13
"(0.95 ; 0.99]",9
"(0.99 ; 1]",34
