"Var1","Freq"
"(0 ; 0.01]",51
"(0.01 ; 0.05]",60
"(0.05 ; 0.1]",82
"(0.1 ; 0.5]",872
"(0.5 ; 0.9]",169
"(0.9 ; 0.95]",6
"(0.95 ; 0.99]",2
"(0.99 ; 1]",1
