"Model","AUC"
"IsoBayes_MM_intensities",0.841
"IsoBayes_MM_psm",0.84
"IsoBayes_mRNA_MM_intensities",0.886
"IsoBayes_mRNA_MM_psm",0.885
"IsoBayes_mRNA_OpenMS",0.873
"IsoBayes_OpenMS",0.82
