"Protease","Log10_correlation","Protease","Log10_correlation_mRNA"
"ArgC",0.582,"ArgC",0.64
"AspN",0.626,"AspN",0.688
"Chym",0.526,"Chym",0.617
"GluC",0.6,"GluC",0.655
"LysC",0.705,"LysC",0.734
"Trypsin",0.689,"Trypsin",0.723
"All",0.599,"All",0.651
