"Var1","Freq"
"(0 ; 0.01]",17
"(0.01 ; 0.05]",13
"(0.05 ; 0.1]",84
"(0.1 ; 0.5]",549
"(0.5 ; 0.9]",62
"(0.9 ; 0.95]",8
"(0.95 ; 0.99]",4
"(0.99 ; 1]",11
