"Var1","Freq"
"(0 ; 0.01]",38
"(0.01 ; 0.05]",152
"(0.05 ; 0.1]",438
"(0.1 ; 0.5]",700
"(0.5 ; 0.9]",86
"(0.9 ; 0.95]",9
"(0.95 ; 0.99]",17
"(0.99 ; 1]",6
