"Var1","Freq"
"(0 ; 0.01]",12
"(0.01 ; 0.05]",13
"(0.05 ; 0.1]",84
"(0.1 ; 0.5]",546
"(0.5 ; 0.9]",56
"(0.9 ; 0.95]",6
"(0.95 ; 0.99]",1
"(0.99 ; 1]",2
